Source,Target,Weight,Max_Weight,Edge_Count,Avg_Text_Similarity,Avg_Time_Score,Min_Time_Delta_Seconds,Edge_Types,Dominant_RT_Source,Query_Context,Example_Tweet_1,Example_Tweet_2
gmonoona61,jrehdphayazo,0.8464042784317753,0.8464042784317753,1,0.6985669136047363,0.9942416432588143,5.0,semantic,,ganjar,Terimakasih. Program Capres Ganjar Pranowo dan Cawapres Mahfud MD persembahkan 35% kredit perbankan untuk koperasi dan UMKM. Langkah besar menuju kesejahteraan bersama.#GanjarMa...,"Program Ganjar Pranowo dan Mahfud MD, duo hebat untuk rakyat. 35% kredit perbankan difokuskan untuk dorong koperasi dan UMKM. Inilah perubahan nyata.#GanjarMahfudRebound #Ganjar..."
gmonoona61,mae_trinidad,0.8464042784317753,0.8464042784317753,1,0.6985669136047363,0.9942416432588143,5.0,semantic,,ganjar,Terimakasih. Program Capres Ganjar Pranowo dan Cawapres Mahfud MD persembahkan 35% kredit perbankan untuk koperasi dan UMKM. Langkah besar menuju kesejahteraan bersama.#GanjarMa...,"Program Ganjar Pranowo dan Mahfud MD, duo hebat untuk rakyat. 35% kredit perbankan difokuskan untuk dorong koperasi dan UMKM. Inilah perubahan nyata.#GanjarMahfudRebound #Ganjar..."
gmonoona75,samialbader,0.8464042784317753,0.8464042784317753,1,0.6985669136047363,0.9942416432588143,5.0,semantic,,ganjar,"Program Ganjar Pranowo dan Mahfud MD, duo hebat untuk rakyat. 35% kredit perbankan difokuskan untuk dorong koperasi dan UMKM. Inilah perubahan nyata.#GanjarMahfudRebound #Ganjar...",Terimakasih. Program Capres Ganjar Pranowo dan Cawapres Mahfud MD persembahkan 35% kredit perbankan untuk koperasi dan UMKM. Langkah besar menuju kesejahteraan bersama.#GanjarMa...
AsdasdasOpopop,Soldierboy67,0.8462037707931381,0.8462037707931381,1,0.7073103785514832,0.9850971630347931,13.0,semantic,,ganjar,Terimakasih. Ganjar Pranowo Mahfud MD persembahkan 35% kredit perbankan untuk koperasi dan UMKM. Langkah besar menuju kesejahteraan bersama.#GanjarMahfudRebound #GanjarPranowoPi...,"Inspirasi sejati. Ganjar Pranowo Mahfud MD hadirkan solusi, 35% kredit perbankan buat koperasi dan UMKM. Kita bersama bangun Indonesia yang lebih baik.#GanjarMahfudRebound #Ganj..."
AsdasdasOpopop,macoy98,0.8462037707931381,0.8462037707931381,1,0.7073103785514832,0.9850971630347931,13.0,semantic,,ganjar,Terimakasih. Ganjar Pranowo Mahfud MD persembahkan 35% kredit perbankan untuk koperasi dan UMKM. Langkah besar menuju kesejahteraan bersama.#GanjarMahfudRebound #GanjarPranowoPi...,"Inspirasi sejati. Ganjar Pranowo Mahfud MD hadirkan solusi, 35% kredit perbankan buat koperasi dan UMKM. Kita bersama bangun Indonesia yang lebih baik.#GanjarMahfudRebound #Ganj..."
gmonoona137,jrehdphayazo,0.8458304353409717,0.8458304353409717,1,0.6985669136047363,0.993093957077207,6.0,semantic,,ganjar,"Program Ganjar Pranowo dan Mahfud MD, duo hebat untuk rakyat. 35% kredit perbankan difokuskan untuk dorong koperasi dan UMKM. Inilah perubahan nyata.#GanjarMahfudRebound #Ganjar...",Terimakasih. Program Capres Ganjar Pranowo dan Cawapres Mahfud MD persembahkan 35% kredit perbankan untuk koperasi dan UMKM. Langkah besar menuju kesejahteraan bersama.#GanjarMa...
gmonoona137,mae_trinidad,0.8458304353409717,0.8458304353409717,1,0.6985669136047363,0.993093957077207,6.0,semantic,,ganjar,"Program Ganjar Pranowo dan Mahfud MD, duo hebat untuk rakyat. 35% kredit perbankan difokuskan untuk dorong koperasi dan UMKM. Inilah perubahan nyata.#GanjarMahfudRebound #Ganjar...",Terimakasih. Program Capres Ganjar Pranowo dan Cawapres Mahfud MD persembahkan 35% kredit perbankan untuk koperasi dan UMKM. Langkah besar menuju kesejahteraan bersama.#GanjarMa...
gmonoona82,jrehdphayazo,0.8458304353409717,0.8458304353409717,1,0.6985669136047363,0.993093957077207,6.0,semantic,,ganjar,"Program Ganjar Pranowo dan Mahfud MD, duo hebat untuk rakyat. 35% kredit perbankan difokuskan untuk dorong koperasi dan UMKM. Inilah perubahan nyata.#GanjarMahfudRebound #Ganjar...",Terimakasih. Program Capres Ganjar Pranowo dan Cawapres Mahfud MD persembahkan 35% kredit perbankan untuk koperasi dan UMKM. Langkah besar menuju kesejahteraan bersama.#GanjarMa...
gmonoona82,mae_trinidad,0.8458304353409717,0.8458304353409717,1,0.6985669136047363,0.993093957077207,6.0,semantic,,ganjar,"Program Ganjar Pranowo dan Mahfud MD, duo hebat untuk rakyat. 35% kredit perbankan difokuskan untuk dorong koperasi dan UMKM. Inilah perubahan nyata.#GanjarMahfudRebound #Ganjar...",Terimakasih. Program Capres Ganjar Pranowo dan Cawapres Mahfud MD persembahkan 35% kredit perbankan untuk koperasi dan UMKM. Langkah besar menuju kesejahteraan bersama.#GanjarMa...
Gmonoona168,Soldierboy67,0.845821375208303,0.845821375208303,1,0.7042673826217651,0.9873753677948408,11.0,semantic,,ganjar,Terimakasih. Ganjar Pranowo Mahfud MD persembahkan 35% kredit perbankan untuk koperasi dan UMKM. Langkah besar menuju kesejahteraan bersama.#GanjarMahfudRebound #GanjarPranowoPi...,"Program Ganjar Pranowo dan Mahfud MD, duo hebat untuk rakyat. 35% kredit perbankan difokuskan untuk dorong koperasi dan UMKM. Inilah perubahan nyata.#GanjarMahfudRebound #Ganjar..."
Gmonoona168,macoy98,0.845821375208303,0.845821375208303,1,0.7042673826217651,0.9873753677948408,11.0,semantic,,ganjar,Terimakasih. Ganjar Pranowo Mahfud MD persembahkan 35% kredit perbankan untuk koperasi dan UMKM. Langkah besar menuju kesejahteraan bersama.#GanjarMahfudRebound #GanjarPranowoPi...,"Program Ganjar Pranowo dan Mahfud MD, duo hebat untuk rakyat. 35% kredit perbankan difokuskan untuk dorong koperasi dan UMKM. Inilah perubahan nyata.#GanjarMahfudRebound #Ganjar..."
Soldierboy67,manilyn37,0.8456352055910964,0.8456352055910964,1,0.7073103785514832,0.9839600326307096,14.0,semantic,,ganjar,Terimakasih. Ganjar Pranowo Mahfud MD persembahkan 35% kredit perbankan untuk koperasi dan UMKM. Langkah besar menuju kesejahteraan bersama.#GanjarMahfudRebound #GanjarPranowoPi...,"Inspirasi sejati. Ganjar Pranowo Mahfud MD hadirkan solusi, 35% kredit perbankan buat koperasi dan UMKM. Kita bersama bangun Indonesia yang lebih baik.#GanjarMahfudRebound #Ganj..."
macoy98,manilyn37,0.8456352055910964,0.8456352055910964,1,0.7073103785514832,0.9839600326307096,14.0,semantic,,ganjar,Terimakasih. Ganjar Pranowo Mahfud MD persembahkan 35% kredit perbankan untuk koperasi dan UMKM. Langkah besar menuju kesejahteraan bersama.#GanjarMahfudRebound #GanjarPranowoPi...,"Inspirasi sejati. Ganjar Pranowo Mahfud MD hadirkan solusi, 35% kredit perbankan buat koperasi dan UMKM. Kita bersama bangun Indonesia yang lebih baik.#GanjarMahfudRebound #Ganj..."
RKianSantang99,rahmatknt270201,0.845106511518053,0.845106511518053,1,1.0,0.6902130230361061,321.0,retweet,Gojekmilitan,anies,"Izin Desak Anies Dibatalkan, Pak Anies Sebut Ini Bagian Dari Perjuangan #AMINAjaDulu","Izin Desak Anies Dibatalkan, Pak Anies Sebut Ini Bagian Dari Perjuangan #AMINAjaDulu"
SubhanDanil,priyoatto1,0.844708143599009,0.844708143599009,1,1.0,0.6894162871980181,322.0,retweet,Mdy_Asmara1701,anies,"Yang bikin salfok saat pak Anies Baswedan pidato, ada bapak tetap berjualan tahu Sumedang di dalam gedung.. Laris ya pak ðð #AMINAjaDulu #AniesMuhaimin2024","Yang bikin salfok saat pak Anies Baswedan pidato, ada bapak tetap berjualan tahu Sumedang di dalam gedung.. Laris ya pak ðð #AMINAjaDulu #AniesMuhaimin2024"
